Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
NGC 5054;H400 291 - MCG -03-34-039;13h16m58s;-16d38m07s;Virgo;Galaxy;10.9;13.5;5.1'x2.8';155;69;-;-;XS(16/2);
NGC 5195;H400 292 - UGC 8494;13h29m59s;47d16m01s;Canes Venatici;Galaxy;9.5;12.8;5.9'x4.6';79;21;-;-;XS(113/16);
NGC 5248;Caldwell 45 - H400 293 - UGC 8616;13h37m32s;08d53m08s;Bootes;Galaxy;10.1;13.4;5.9'x4.5';110;45;-;-;XS(35/7);
NGC 5273;H400 294 - UGC 8675;13h42m08s;35d39m12s;Canes Venatici;Galaxy;11.5;13.2;2.7'x2.2';10;33;-;-;XS(27/3);
NGC 5322;H400 295 - UGC 8745;13h49m15s;60d11m23s;Ursa Major;Galaxy;10.1;13.3;6.0'x4.1';95;11;-;-;XS(31/3);
NGC 5363;H400 296 - UGC 8847;13h56m07s;05d15m12s;Virgo;Galaxy;10.4;13.0;4.6'x3.1';135;57;-;-;XS(27/5);
NGC 5364;H400 297 - NGC 5317;13h56m12s;05d00m54s;Virgo;Galaxy;10.4;13.7;6.1'x4.2';30;57;-;-;XS(25/5);
NGC 5466;H400 298 - GCL 27 - Mel 124;14h05m27s;28d32m04s;Bootes;Globular cluster;9.0;13.6;9.2'x9.2';;32;-;-;XS(72/6);
NGC 5473;H400 299 - UGC 9011;14h04m43s;54d53m34s;Ursa Major;Galaxy;11.4;12.6;2.2'x1.7';160;11;-;-;XS(44/4);
NGC 5474;H400 300 - UGC 9013;14h05m01s;53d39m44s;Ursa Major;Galaxy;10.6;13.3;4.5'x3.3';178;11;-;-;XS(50/4);
NGC 5557;H400 301 - UGC 9161;14h18m26s;36d29m35s;Bootes;Galaxy;10.9;12.3;2.4'x1.9';105;32;-;-;XS(40/5);
NGC 5566;H400 302 - UGC 9175;14h20m20s;03d55m57s;Virgo;Galaxy;10.6;13.3;6.6'x2.3';35;56;-;-;XS(25/5);
NGC 5576;H400 303 - UGC 9183;14h21m04s;03d16m15s;Virgo;Galaxy;10.8;12.6;3.0'x2.3';95;56;-;-;XS(22/5);
